No of clusters in KNN:1 Misclassified-Test-Set:41 Accuracy:0.18
No of clusters in KNN:2 Misclassified-Test-Set:34 Accuracy:0.32
No of clusters in KNN:3 Misclassified-Test-Set:45 Accuracy:0.1
No of clusters in KNN:4 Misclassified-Test-Set:45 Accuracy:0.1
No of clusters in KNN:5 Misclassified-Test-Set:47 Accuracy:0.06
No of clusters in KNN:6 Misclassified-Test-Set:47 Accuracy:0.06
No of clusters in KNN:7 Misclassified-Test-Set:48 Accuracy:0.04
No of clusters in KNN:8 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:9 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:10 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:11 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:12 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:13 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:14 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:15 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:16 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:17 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:18 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:19 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:20 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:21 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:22 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:23 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:24 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:25 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:26 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:27 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:28 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:29 Misclassified-Test-Set:48 Accuracy:0.04
No of clusters in KNN:30 Misclassified-Test-Set:46 Accuracy:0.08
No of clusters in KNN:31 Misclassified-Test-Set:48 Accuracy:0.04
No of clusters in KNN:32 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:33 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:34 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:35 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:36 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:37 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:38 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:39 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:40 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:41 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:42 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:43 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:44 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:45 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:46 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:47 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:48 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:49 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:50 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:51 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:52 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:53 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:54 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:55 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:56 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:57 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:58 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:59 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:60 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:61 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:62 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:63 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:64 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:65 Misclassified-Test-Set:49 Accuracy:0.02
No of clusters in KNN:66 Misclassified-Test-Set:49 Accuracy:0.02
