K = 1	Misclassified-Test-Set:36	Accuracy:0.28
K = 2	Misclassified-Test-Set:42	Accuracy:0.16
K = 3	Misclassified-Test-Set:46	Accuracy:0.08
K = 4	Misclassified-Test-Set:46	Accuracy:0.08
K = 5	Misclassified-Test-Set:46	Accuracy:0.08
K = 6	Misclassified-Test-Set:45	Accuracy:0.1
K = 7	Misclassified-Test-Set:47	Accuracy:0.06
K = 8	Misclassified-Test-Set:47	Accuracy:0.06
K = 9	Misclassified-Test-Set:47	Accuracy:0.06
K = 10	Misclassified-Test-Set:48	Accuracy:0.04
K = 11	Misclassified-Test-Set:47	Accuracy:0.06
K = 12	Misclassified-Test-Set:45	Accuracy:0.1
K = 13	Misclassified-Test-Set:45	Accuracy:0.1
K = 14	Misclassified-Test-Set:44	Accuracy:0.12
K = 15	Misclassified-Test-Set:42	Accuracy:0.16
K = 16	Misclassified-Test-Set:41	Accuracy:0.18
K = 17	Misclassified-Test-Set:48	Accuracy:0.04
K = 18	Misclassified-Test-Set:45	Accuracy:0.1
K = 19	Misclassified-Test-Set:44	Accuracy:0.12
K = 20	Misclassified-Test-Set:42	Accuracy:0.16
K = 21	Misclassified-Test-Set:46	Accuracy:0.08
K = 22	Misclassified-Test-Set:45	Accuracy:0.1
K = 23	Misclassified-Test-Set:47	Accuracy:0.06
K = 24	Misclassified-Test-Set:47	Accuracy:0.06
K = 25	Misclassified-Test-Set:48	Accuracy:0.04
K = 26	Misclassified-Test-Set:48	Accuracy:0.04
K = 27	Misclassified-Test-Set:46	Accuracy:0.08
K = 28	Misclassified-Test-Set:50	Accuracy:0.0
K = 29	Misclassified-Test-Set:49	Accuracy:0.02
K = 30	Misclassified-Test-Set:50	Accuracy:0.0
K = 31	Misclassified-Test-Set:50	Accuracy:0.0
K = 32	Misclassified-Test-Set:50	Accuracy:0.0
K = 33	Misclassified-Test-Set:50	Accuracy:0.0
K = 34	Misclassified-Test-Set:49	Accuracy:0.02
K = 35	Misclassified-Test-Set:50	Accuracy:0.0
K = 36	Misclassified-Test-Set:50	Accuracy:0.0
K = 37	Misclassified-Test-Set:50	Accuracy:0.0
K = 38	Misclassified-Test-Set:50	Accuracy:0.0
K = 39	Misclassified-Test-Set:50	Accuracy:0.0
K = 40	Misclassified-Test-Set:50	Accuracy:0.0
K = 41	Misclassified-Test-Set:50	Accuracy:0.0
K = 42	Misclassified-Test-Set:50	Accuracy:0.0
K = 43	Misclassified-Test-Set:50	Accuracy:0.0
K = 44	Misclassified-Test-Set:50	Accuracy:0.0
K = 45	Misclassified-Test-Set:50	Accuracy:0.0
K = 46	Misclassified-Test-Set:50	Accuracy:0.0
K = 47	Misclassified-Test-Set:50	Accuracy:0.0
K = 48	Misclassified-Test-Set:50	Accuracy:0.0
K = 49	Misclassified-Test-Set:50	Accuracy:0.0
