#authid,"status",sext,sneu,sagr,scon,sopn,cext,cneu,cagr,ccon,copn
b7b7764cfa1c523e4e93ab2a79a946c4,"likes the sound of thunder",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is so sleepy its not even funny that she canst get to sleep",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is sore and wants the knot of muscles at the base of her neck to stop hurting on the other hand hay ism in illinois <3",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"likes how the day sounds in this new song",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is home <3",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"www.thejokerblogs.com",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"saw a nun zombie, and liked it also *propname* + tentacle!man + psychic powers = great party",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is in kentucky 421 miles into her 1100 mile journey home",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"was about to finish a digital painting before her tablet went haywire. is now contemplating the many ways she wishes to exact her revenge on faulty technology",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is celebrating her new hair by listening to singer music and generally looking like a doofus.",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"has a crush on the green lantern",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"has magic on the brain",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"saw transformer up and year one this weeks good movie reload d",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"who wants to meet up on schedule picked day at video",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"desires the thrill of inspiration also money",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is going to bed at 9:30! yeah",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is reading admiring her permit and occasionally glancing at her re mcdonald's uniform",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"thinks intangibility should be an option in reality settings",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is tried *propname*, let me go to sleep pl0x.",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is discovering the many favors of insomnia",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is watching cousin play computer game on lesion box things also sleepy",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"why is it ism only getting the urge to draw when i have stuff to do for school d",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"whoa thought a single text message could be enough to change my mind",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"wishes to develop a super power that prevents her from needing to sleep",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"tell me what to draw pox",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"found a buy buy died buried buy now is drawing",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"<3",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is just about insane by now",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"wants to sleep eight hours tonight and so she shall",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"really hate horse and emotions right now well has hated them a lot recently goodness",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"has a watch that matches her glasses she wishes she hand spade with glee when she saw it in the store",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"loved 9! allegory symbols talking ragdolls, satire and explosions yes",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"canst sit on her fun because she knows as soon as she does shell lie down and pass out uncomfortable roll desk chair it is :(",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"should spend less time writing chapters for the story shell never finish and try reading more books preferably during the daytime and not at 3:00 am",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is watching kid cartoons and wishing she weren so old",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"has work tomorrow and hopes they teach her how to use the cash register d",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is grateful she did most of her work during her wait for a ride home this afternoon and then during the open house sleep she beckons.",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"has a really confusing internal dilemma she also wonders if anyone can guess what it is",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"thinks she needs to stop leaving so many pictures half-done before getting new ideas",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"has grown weary of drawing her paranoid, soldier//housewife ny character in comic from and must thus go to sleep to relish her desire to work tireless on a mere audition.",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is seeing 9 tonight maybe",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is going to work on comic then crash into her fun with all the love unconsciousness deserves",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"weekend i love you",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is listening to relent k and thinking about plants lawyers and internships.",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is drawing instead of homeworking. :| this is fun but not good",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"will sleep like a champion tonight",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"dishes webcomics, laziness internal lack of disruption alright",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"wishes she weren ticklish sometimes right now though is not one of those times :)",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"has a magical ceiling",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"went to bed early slept in and still feels like she hasn'tgotten a proper nights sleep",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"got taught how to use the register (<3!!!~), enjoyed (500) days of summer and is looking forward to going to the beach monday",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"hate fig on principle",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"realizes traditional media hate her and has shunned her pencils in favor of the tablet that learn me",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"was all prepared to do her weekend homework the morning it was due but realized she left the necessary binder at school fffffffffffff-",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"has early work blargedy-argdey-blah. minimum waaaage, i love you",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"far away // this ship has taken me so far away goshdarnit, muse stop being so awesome.",2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,"is a little excited to see the talent show",2.65,3,3.15,3.25,4.4,n,y,n,n,y
